Files stored on S3: 24114
Total size stored:  81.8858743049204 GB
Content stored:
2016-07-28 12:19:24    1220714 targeted-backup/rich/D/My Pictures/DPSI Logos/DPSI LOGO clean edged (color).eps
2016-07-28 12:20:30       2843 targeted-backup/rich/D/My Pictures/DPSI Logos/DPSI LOGO clean edged (color).gif
2016-07-28 12:22:49     999669 targeted-backup/rich/D/My Pictures/DPSI Logos/DPSI LOGO clean edged (color).psd
2016-07-28 12:22:12    1220702 targeted-backup/rich/D/My Pictures/DPSI Logos/DPSI LOGO clean edged.eps
2016-07-28 12:20:59       2814 targeted-backup/rich/D/My Pictures/DPSI Logos/DPSI LOGO clean edged.gif
2016-07-28 12:21:00      61014 targeted-backup/rich/D/My Pictures/DPSI Logos/DPSI LOGO clean edged.jpg
2016-07-28 12:21:05      29560 targeted-backup/rich/D/My Pictures/DPSI Logos/DPSI LOGO clean edged.psp
2016-07-31 14:02:08     302818 targeted-backup/rich/D/My Pictures/DPSI Logos/DPSI LOGO.eps
2016-07-28 12:21:48       7245 targeted-backup/rich/D/My Pictures/DPSI Logos/DPSI Logo BW burgundy.gif
2016-07-28 12:21:50      37224 targeted-backup/rich/D/My Pictures/DPSI Logos/DPSI Logo BW burgundy.jpg
2016-07-28 12:21:50       1980 targeted-backup/rich/D/My Pictures/DPSI Logos/DPSI Logo BW itty bitty.gif
2016-07-28 12:21:50      54066 targeted-backup/rich/D/My Pictures/DPSI Logos/DPSI Logo BW letterhead.eps
2016-07-28 12:21:52       3255 targeted-backup/rich/D/My Pictures/DPSI Logos/DPSI Logo BW letterhead.gif
2016-07-28 12:21:53      12910 targeted-backup/rich/D/My Pictures/DPSI Logos/DPSI Logo BW letterhead.jpg
2016-07-28 12:21:55      72470 targeted-backup/rich/D/My Pictures/DPSI Logos/DPSI Logo BW letterhead.wmf
2016-07-28 12:21:57       4306 targeted-backup/rich/D/My Pictures/DPSI Logos/DPSI Logo BW small.gif
2016-07-28 12:21:57       6210 targeted-backup/rich/D/My Pictures/DPSI Logos/DPSI Logo BW.gif
2016-07-28 12:21:58    1766654 targeted-backup/rich/D/My Pictures/DPSI Logos/DPSI Logo.bmp
2016-07-28 12:22:00      63070 targeted-backup/rich/D/My Pictures/DPSI Logos/DPSI Logo.jpg
2016-07-28 12:22:02      14777 targeted-backup/rich/D/My Pictures/DPSI Logos/DPSI watermark logo trans.jpg
2016-07-28 12:22:04      16346 targeted-backup/rich/D/My Pictures/DPSI Logos/DPSI watermark logo.jpg
2019-08-31 12:32:55         26 targeted-backup/rich/D/My Pictures/DPSI Logos/GSA Flyer/.picasa.ini
2016-07-28 12:23:28      76182 targeted-backup/rich/D/My Pictures/DPSI Logos/GSA Flyer/GSAFlyer.jpg
2016-07-28 12:22:05      96085 targeted-backup/rich/D/My Pictures/DPSI Logos/GSA Flyer/GSAFlyer1.jpg
2016-07-28 12:22:06     213543 targeted-backup/rich/D/My Pictures/DPSI Logos/GSA Flyer/GSAFlyer1.psp
2016-07-28 12:22:15     239806 targeted-backup/rich/D/My Pictures/DPSI Logos/GSA Flyer/GSAFlyerLarge.jpg
2016-07-28 12:22:22      13844 targeted-backup/rich/D/My Pictures/DPSI Logos/GSA Flyer/GSAFlyersmall.jpg
2016-07-28 12:22:24     183935 targeted-backup/rich/D/My Pictures/DPSI Logos/GSA Flyer/Image11.psp
2016-07-28 12:22:23       7168 targeted-backup/rich/D/My Pictures/DPSI Logos/GSA Flyer/Thumbs.db
2016-07-28 12:22:25    1266688 targeted-backup/rich/D/My Pictures/DPSI Logos/Spine Logo2.doc
2016-07-28 12:22:34      50688 targeted-backup/rich/D/My Pictures/DPSI Logos/Thumbs.db
2019-08-31 12:32:55         29 targeted-backup/rich/D/My Pictures/DPSI Logos/binder sides/.picasa.ini
2016-07-28 12:22:38     159326 targeted-backup/rich/D/My Pictures/DPSI Logos/binder sides/Image17.gif
2016-07-28 12:22:49     259463 targeted-backup/rich/D/My Pictures/DPSI Logos/binder sides/Image17.png
2016-07-28 12:22:52       5120 targeted-backup/rich/D/My Pictures/DPSI Logos/binder sides/Thumbs.db
2016-07-28 12:22:52     355314 targeted-backup/rich/D/My Pictures/DPSI Logos/binder sides/binder side.tif
2019-08-31 12:32:55         27 targeted-backup/rich/D/My Pictures/DPSI Logos/composites/.picasa.ini
2016-07-28 12:23:17      20480 targeted-backup/rich/D/My Pictures/DPSI Logos/composites/Thumbs.db
2016-07-28 12:23:20     593535 targeted-backup/rich/D/My Pictures/DPSI Logos/composites/air and comuters composite low res.JPG
2016-07-28 12:29:00    2451893 targeted-backup/rich/D/My Pictures/DPSI Logos/composites/air and comuters composite.JPG
2016-07-28 12:23:28       2004 targeted-backup/rich/D/My Pictures/DPSI Logos/dpsi.gif
2019-08-31 12:32:55         22 targeted-backup/rich/D/My Pictures/DPSI Logos/final/.picasa.ini
2016-07-28 12:23:31      23040 targeted-backup/rich/D/My Pictures/DPSI Logos/final/Thumbs.db
2016-07-28 12:23:38    2361616 targeted-backup/rich/D/My Pictures/DPSI Logos/final/final slide bkg.TIF
2016-07-28 12:23:42      26613 targeted-backup/rich/D/My Pictures/DPSI Logos/final/gateslogo2.GIF
2016-07-28 12:23:48     203154 targeted-backup/rich/D/My Pictures/DPSI Logos/final/slide bkg final, cream.JPG
2016-07-28 12:24:03     155296 targeted-backup/rich/D/My Pictures/DPSI Logos/final/slide bkg final.JPG
2016-07-28 12:24:08     211224 targeted-backup/rich/D/My Pictures/DPSI Logos/final/title slide, cream.JPG
